Stoff;Kategorie;Schicht;Wirkung_spuerbar;Longevity_Pathway;Wirkmechanismus;Evidenz;Dosis_wirksam_mg;Form_empfohlen;EU_Status;EFSA_Claim;Hitzestabil_90C;Wasserloeslich;Geschmack_Geruch;Max_Dosis_mg;Kontraindikationen;Synergie;Kostenklasse;Keep_Cut;Begruendung
Teacrine (Theacrine);A_Stimulans;V2;ja;-;Adenosin/Dopamin, toleranzarm;niedrig-mittel;50-200;Teacrine;NF-Grauzone;nein;ja;ja;leicht bitter;200;Stim-Stacking;Koffein;hoch;PRUEFEN;EU-Status ungeklaert, toleranzarme Energie
Dynamine (Methylliberin);A_Stimulans;V2;ja;-;Adenosin-Modulation, schnell;niedrig;50-100;Dynamine;NF-Grauzone;nein;ja;ja;bitter;100;Stim-Stacking;Koffein;hoch;PRUEFEN;EU-Status ungeklaert
Synephrin (Bitterorange);A_Stimulans;-;ja;-;adrenerg, Thermogenese;niedrig;-;-;riskant/eingeschraenkt;nein;ja;-;-;-;Herz-Kreislauf, Hypertonie;-;niedrig;CUT;Kardiovaskulaeres Risiko, regulatorisch heikel
Higenamin;A_Stimulans;-;ja;-;beta-adrenerg;niedrig;-;-;verboten (Doping/riskant);nein;-;-;-;-;Herz-Kreislauf;-;mittel;CUT;Dopingliste + Sicherheitsbedenken
Kakao-Extrakt (Flavanole);A_Stimulans;Kandidat;ja_schwach;Gefaesse;Theobromin+Flavanole, Durchblutung;mittel;Flavanole 200-500;standard. Flavanole;zugelassen;ja (Flavanole/Gefaesse);teilweise;teilweise;kakao;-;keine;-;mittel;PRUEFEN;EFSA-Claim Kakaoflavanole, Geschmack passt
L-Theanin;B_Nootropikum;CORE;ja_mittel;-;GABA/Glutamat, Alpha-Wellen;hoch;100-200;rein;zugelassen (NF 2021);nein;nein;ja;umami-neutral;1200;keine relevant;Koffein 1:2;niedrig;KEEP;Anti-Crash, hitzestabil
Alpha-GPC;B_Nootropikum;CORE_Option;ja_mittel;-;Acetylcholin-Vorstufe;mittel;300-600;50%;zugelassen;nein;ja;ja;leicht salzig;600;Demenzmedikamente;Cordyceps;mittel;PRUEFEN;Potent aber hygroskopisch (Klumpen) vs Citicoline
Citicoline (CDP-Cholin);B_Nootropikum;CORE_Option;ja_mittel;-;Acetylcholin + Dopaminrezeptoren;mittel-hoch;250-500;Cognizin;zugelassen;nein;ja;ja;neutral;500;keine relevant;Cordyceps;mittel-hoch;PRUEFEN;Stabiler+magenfreundlicher, fuer Instant bevorzugt
Cholin-Bitartrat;B_Nootropikum;Kandidat;ja_schwach;-;Cholin-Quelle (guenstig);mittel;500-1000;Bitartrat;zugelassen;ja (Cholin);ja;ja;sauer-fischig;-;keine relevant;-;niedrig;CUT;Schlechter bioverfuegbar+Geschmack vs Citicoline
Bacopa Monnieri;B_Nootropikum;Kandidat;nein;-;Dendriten, Gedaechtnis (kumulativ);hoch;300;50% Bacoside;zugelassen;nein;ja;teilweise;sehr bitter;-;magenreizend;-;mittel;CUT;Wirkt erst nach Wochen, bitter, passt nicht zu Sofort-Versprechen
Phosphatidylserin;B_Nootropikum;Evening_SKU;ja_schwach;-;Membran, Cortisol-Daempfung;mittel;100-300;Sonnenblumen-PS;zugelassen;ja (kognitiv, aelter);teilweise;nein;leicht;-;Antikoagulantien;-;mittel-hoch;PRUEFEN;Eher Evening/Recovery, fettloeslich
Huperzin A;B_Nootropikum;-;ja_mittel;-;Acetylcholinesterase-Hemmer;mittel;0.05-0.2;-;in DE als LM VERBOTEN;nein;ja;-;-;-;cholinerg;-;mittel;CUT;DE-Verbot als Lebensmittel
Vinpocetin;B_Nootropikum;-;ja;-;zerebrale Durchblutung;mittel;-;-;medizinisch/kein LM (EU);nein;-;-;-;-;Schwangerschaft (EU-Warnung);-;mittel;CUT;EU: nicht als LM, medizinisch
Ginkgo Biloba;B_Nootropikum;Kandidat;ja_schwach;Gefaesse;Durchblutung, Antioxidans;mittel;120-240;24% Flavonglykoside;zugelassen;nein;teilweise;teilweise;leicht bitter;-;Antikoagulantien;-;niedrig;PRUEFEN;Durchblutung/Kognition, Blutungsrisiko beachten
DMAE;B_Nootropikum;-;ja_schwach;-;Cholin-verwandt;niedrig;-;-;NF-Grauzone/riskant;nein;ja;-;-;-;Schwangerschaft;-;niedrig;CUT;Sicherheits-/Statusbedenken
Uridinmonophosphat;B_Nootropikum;Kandidat;nein;-;Synapsen, mit Cholin/DHA;vorlaeufig;250-500;UMP;NF-pruefen;nein;ja;ja;neutral;-;keine relevant;Citicoline;mittel;PRUEFEN;Synergie mit Cholin, EU-Status pruefen
Saffron (Safranal);B_Nootropikum;Kandidat;ja_schwach;-;Stimmung, Serotonin;mittel;28-30;affron standard.;zugelassen;nein;ja;teilweise;blumig-bitter;-;Schwangerschaft (hoch);-;sehr hoch;PRUEFEN;Stimmung/Fokus, teuer, niedrige Dosis
PQQ;B_Nootropikum;OPTIONAL_Layer;nein;Mitochondrien-Biogenese;Mitochondriogenese;mittel;10-20;PQQ-Dinatrium;zugelassen (NF);nein;ja;ja;neutral;20;keine relevant;CoQ10;hoch;PRUEFEN;Mitochondrien, auch Longevity, niedrige Dosis
Gotu Kola (Centella);B_Nootropikum;Kandidat;nein;Kollagen/Gefaesse;Mikrozirkulation, Beruhigung;mittel;300-600;Triterpene standard.;zugelassen;nein;teilweise;teilweise;erdig;-;Lebererkrankung;-;niedrig;CUT;Nische, langsame Wirkung
Lutein/Zeaxanthin;B_Nootropikum;Kandidat;nein;-;Makula/Gehirn-Carotinoide;mittel;10-20;standard.;zugelassen;nein;ja;nein;neutral;-;keine relevant;-;mittel;CUT;Augen/Gehirn, fettloeslich, Nische
Ashwagandha KSM-66;C_Adaptogen;CORE;ja_mittel;Inflammaging;HPA-Achse, Cortisol;hoch;300-600;KSM-66 Wurzel ~5%;zugelassen;nein;ja;teilweise;bitter;600;Schilddruese, Schwangerschaft;Rhodiola;mittel;KEEP;Cortisol/Recovery, KSM-66=Performance
Ashwagandha Sensoril;C_Adaptogen;Evening_SKU;ja_mittel;Inflammaging;Wurzel+Blatt, sedierender;hoch;125-250;Sensoril ~10%;zugelassen;nein;ja;teilweise;bitterer;250;Schilddruese, Schwangerschaft;-;mittel;EVENING;Sedierender, Evening-SKU
Rhodiola Rosea;C_Adaptogen;CORE;ja_mittel;Inflammaging;Cortisol/Serotonin/Dopamin;mittel;200-400;3% Rosavin/1% Salidrosid;zugelassen;nein;nein;nein;herb-adstringierend;600;bipolar, MAO-Hemmer;Ashwagandha;mittel;KEEP;Anti-Fatigue, Stressresistenz
Panax Ginseng;C_Adaptogen;Kandidat;ja_schwach;-;Ginsenoside, Energie/Kognition;mittel;200-400;standard. Ginsenoside;zugelassen;nein;teilweise;teilweise;bitter-erdig;-;Hypertonie, Antikoagulantien;-;mittel;PRUEFEN;Energie/Kognition, Geschmack+Interaktionen
American Ginseng;C_Adaptogen;Kandidat;ja_schwach;-;Ginsenoside, milder;mittel;200-400;standard.;zugelassen;nein;teilweise;teilweise;bitter;-;Antikoagulantien;-;mittel;CUT;Milder, redundant zu Panax
Eleuthero;C_Adaptogen;-;ja_schwach;-;Eleutheroside, Ausdauer;niedrig-mittel;300-1000;standard.;zugelassen;nein;teilweise;teilweise;erdig;-;Hypertonie;-;niedrig;CUT;Schwaechere Evidenz, redundant zu Rhodiola
Schisandra;C_Adaptogen;Kandidat;ja_schwach;Leber;Lignane, Leber/Adaptogen;mittel;500-1000;standard.;zugelassen;nein;teilweise;teilweise;5-Geschmaecker komplex;-;Schwangerschaft;-;mittel;CUT;Nische, komplexer Geschmack
Holy Basil (Tulsi);C_Adaptogen;Kandidat;ja_schwach;Inflammaging;Cortisol, Blutzucker;mittel;300-600;standard.;zugelassen;nein;teilweise;teilweise;krautig-wuerzig;-;Antikoagulantien;-;niedrig;CUT;Geschmack dominant
Maca;C_Adaptogen;Kandidat;ja_schwach;-;Energie/Libido (Hormonmodulation);mittel;1500-3000;gelatiniert;zugelassen;nein;ja;teilweise;malzig-erdig;-;keine relevant;-;niedrig;CUT;Hohe Dosis noetig, Geschmack
Astragalus;C_Adaptogen;OPTIONAL_Layer;nein;Telomerase;Immun, TA-65 (Cycloastragenol);niedrig-mittel;500-1000;standard. / Cycloastragenol;zugelassen (Wurzel);nein;teilweise;teilweise;suesslich-erdig;-;Autoimmun (Vorsicht);-;hoch;PRUEFEN;Telomer-Longevity-Story, Cycloastragenol teuer/NF pruefen
Jiaogulan (Gynostemma);C_Adaptogen;OPTIONAL_Layer;nein;AMPK;AMPK-Aktivierung (Gypenoside);mittel;300-600;standard. Gypenoside;zugelassen;nein;teilweise;teilweise;leicht suess-bitter;-;keine relevant;Chlorogensaeure;mittel;PRUEFEN;AMPK-Longevity, sanfter Geschmack
Cordyceps Militaris;D_Pilz;CORE;ja_mittel;Mitochondrien;ATP, VO2max (Cordycepin);mittel;500-1000;Fruchtkoerper Dual-Extract;zugelassen;nein;teilweise;teilweise;bitter-pilzig;1000;Autoimmun;Lion's Mane;mittel;KEEP;Ausdauer/VO2max=Hyrox, Fruchtkoerper>Myzel
Lion's Mane;D_Pilz;CORE;ja_schwach;Neuroplastizitaet;NGF/BDNF;mittel;500-1000;Dual Extract 8:1 Fruchtkoerper;zugelassen;nein;teilweise;teilweise;bitter-erdig;1000;Pilzallergie;Cordyceps;mittel-hoch;PRUEFEN;Kognition langsam, Geschmack maskieren
Reishi;D_Pilz;Evening_SKU;nein;Autophagie/Immun;Triterpene, Schlaf/Immun;mittel;500-1000;Dual Extract;zugelassen;nein;teilweise;teilweise;sehr bitter;1000;Antikoagulantien;-;mittel;EVENING;Sedierend, Evening
Chaga;D_Pilz;Kandidat;nein;Antioxidans;Hoher ORAC, Melanin;mittel;500-1000;Extrakt;zugelassen;nein;teilweise;teilweise;mild-erdig;-;Oxalat (Niere), Antikoag.;-;mittel;PRUEFEN;Antioxidans, Oxalat/Schwermetall-QC
Turkey Tail;D_Pilz;-;nein;Immun/Darm;PSK/PSP Beta-Glucane;mittel;500-1000;Extrakt;zugelassen;nein;teilweise;teilweise;mild;-;keine relevant;-;mittel;CUT;Immun/Darm-Fokus, nicht Performance-Achse
Maitake;D_Pilz;Kandidat;nein;Blutzucker;Beta-Glucane, Glukose;mittel;500-1000;Extrakt;zugelassen;nein;teilweise;teilweise;mild;-;keine relevant;-;mittel;CUT;Nische
Tremella;D_Pilz;Kandidat;nein;Haut/Hydration;Polysaccharide, Hyaluron-aehnlich;niedrig;500-1000;Extrakt;zugelassen;nein;teilweise;teilweise;neutral-suess;-;keine relevant;-;mittel;CUT;Beauty-Nische
Taurin;E_Aminosaeure;CORE;indirekt;Mitochondrien;Neuromodulation, Mitochondrien;mittel;1000-2000;rein;zugelassen;nein;ja;ja;neutral;2000;Lithium;Magnesium;niedrig;KEEP;Bruecke Performance+Longevity (2023 Science)
L-Tyrosin;E_Aminosaeure;CORE;ja_mittel;-;Dopamin/Noradrenalin-Vorstufe;mittel;500-2000;frei oder NALT;zugelassen;nein;ja;ja;neutral-bitter;2000;Schilddruese, MAO-Hemmer;Koffein;niedrig;KEEP;Fokus/Antrieb unter Stress
L-Citrullin;E_Aminosaeure;PreWorkout_SKU;ja;Gefaesse;NO/Durchblutung;hoch;3000-6000;Citrullin-Malat;zugelassen;nein;ja;ja;leicht sauer;6000;keine relevant;Arginin;niedrig;PREWORKOUT;Pump, Hochdosis sprengt Sachet
L-Arginin;E_Aminosaeure;Kandidat;ja_schwach;Gefaesse;NO (schlechter als Citrullin);mittel;3000-6000;HCl;zugelassen;nein;ja;ja;bitter;-;Herpes (Vorsicht);-;niedrig;CUT;Citrullin ueberlegen fuer NO
Beta-Alanin;E_Aminosaeure;PreWorkout_SKU;ja;-;Carnosin-Puffer;hoch;3000-5000;rein;zugelassen;nein;ja;ja;neutral;5000;keine relevant;-;niedrig;PREWORKOUT;Paraesthesie+Hochdosis, nur PreWorkout
Kreatin Monohydrat;E_Aminosaeure;separates_Produkt;ja;Mitochondrien;ATP-Resynthese;hoch;3000-5000;Creapure;zugelassen;ja (Muskelleistung);nein;teilweise;neutral;5000;Nierenerkrankung;-;niedrig;CUT;Hitzeinstabil, sprengt Sachet, separat
Betain (TMG);E_Aminosaeure;OPTIONAL_Layer;ja_schwach;Methylierung;Methyldonor, Homocystein;mittel;1500-2500;wasserfrei;zugelassen;nein;ja;ja;leicht suess;-;keine relevant;Kreatin;niedrig;PRUEFEN;Methylierung/Performance, Volumen beachten
Acetyl-L-Carnitin (ALCAR);E_Aminosaeure;OPTIONAL_Layer;ja_schwach;Mitochondrien;Fettstoffwechsel, Gehirn;mittel;500-1500;ALCAR;zugelassen;nein;ja;ja;leicht sauer;-;Schilddruese, Krampfleiden;-;mittel;PRUEFEN;Mitochondrien+Kognition, auch Longevity
L-Carnitin;E_Aminosaeure;Kandidat;nein;-;Fettsaeuretransport;mittel;1000-2000;Tartrat;zugelassen;nein;ja;ja;leicht fischig;-;Schilddruese;-;niedrig;CUT;ALCAR ueberlegen fuer Gehirn
Glycin;E_Aminosaeure;OPTIONAL_Layer;ja_schwach;GlyNAC/Glutathion;Schlaf, mit NAC=Glutathion;mittel;1000-3000;rein;zugelassen;nein;ja;ja;suess;-;keine relevant;NAC (GlyNAC);niedrig;PRUEFEN;GlyNAC-Longevity-Synergie, suesst angenehm
L-Glutamin;E_Aminosaeure;Kandidat;nein;-;Darm/Recovery;niedrig-mittel;5000;rein;zugelassen;nein;teilweise;ja;neutral;-;keine relevant;-;niedrig;CUT;Schwache Evidenz oral, Hochdosis
EAAs/BCAAs;E_Aminosaeure;Kandidat;nein;-;Muskelproteinsynthese;mittel;5000-10000;EAA-Mix;zugelassen;nein;ja;ja;bitter;-;keine relevant;-;mittel;CUT;Hochdosis sprengt Format, separat
Kollagenpeptide;E_Aminosaeure;separates_Produkt;nein;Haut/Gelenk;Bindegewebe;mittel;5000-10000;Typ I/III hydrolysiert;zugelassen;nein;ja;ja;neutral-leicht;-;keine relevant;Vit-C;niedrig;CUT;Hochdosis+Volumen, separat
GABA;E_Aminosaeure;Evening_SKU;ja_schwach;-;Beruhigung (Blut-Hirn umstritten);niedrig;100-200;PharmaGABA;zugelassen;nein;ja;ja;leicht;-;keine relevant;L-Theanin;niedrig;CUT;BHS-Gaengigkeit umstritten
BHB (Ketonsalze);E_Aminosaeure;Kandidat;ja;-;Ketonkoerper-Energie;mittel;5000-10000;BHB-Mineralsalze;zugelassen;nein;ja;ja;salzig-bitter;-;Minerallast (Na/K);MCT;hoch;CUT;Hochdosis, Geschmack, Minerallast
Glutathion (liposomal);E_Aminosaeure;OPTIONAL_Layer;nein;Antioxidans;Master-Antioxidans direkt;niedrig-mittel;250-500;liposomal/Setria;zugelassen;nein;nein;teilweise;schwefelig;-;keine relevant;NAC,Glycin;hoch;PRUEFEN;Direkt vs Vorstufen (NAC guenstiger), Geschmack
NAC;F_Longevity;OPTIONAL_Layer;nein;Seneszenz/Inflammation;Glutathion-Vorstufe;hoch;600-1200;N-Acetylcystein;zugelassen (NEM);nein;nein;ja;SCHWEFEL kritisch;1800;Nitroglycerin;Selen,Glycin;niedrig;OPTIONAL;Longevity-Kern, Flavorist-Pflicht, Premium-Tier
Spermidin (Weizenkeim);F_Longevity;OPTIONAL_Layer;nein;Autophagie;Autophagie-Induktion;mittel;1-6;Weizenkeim (Reg EU 2020/443);zugelassen (NF, max6mg);nein;ja;ja;leicht herb;6;Schwangere/Stillende;NAC;mittel-hoch;OPTIONAL;Nur Weizenkeim legal, NF-Labeling, Premium
NMN;F_Longevity;V2_nach_Zulassung;nein;NAD+;NAD+-Biosynthese;mittel;250-500;Uthever o.ae.;ILLEGAL bis ~Q1 2027;nein;ja;ja;neutral;500;keine relevant;Trigonellin;hoch;CUT_jetzt;EU-Zulassung abwarten, V2 als PR-Event
NR (Nicotinamid-Ribosid);F_Longevity;V1.5_Bruecke;nein;NAD+;NAD+-Biosynthese;mittel;250-300;NR-Chlorid (Niagen);EU nicht NF-gesperrt;nein;ja;ja;neutral;300;keine relevant;Trigonellin;hoch;PRUEFEN;NMN-Bruecke, ChromaDex-Patent EU pruefen
Niacin (B3);F_Longevity;Kandidat;nein;NAD+;NAD+ direkt (Flush);hoch;15-50;Nicotinsaeure;zugelassen;ja (B3);ja;ja;neutral;Flush>50;Leber (hoch);-;niedrig;PRUEFEN;NAD+-Pathway guenstig, Flush-Effekt
Nicotinamid (NIAM);F_Longevity;OPTIONAL_Layer;nein;NAD+;NAD+ ohne Flush;hoch;100-500;NIAM;zugelassen;ja (B3);ja;ja;neutral;900;Leber (hoch);-;niedrig;PRUEFEN;NAD+ ohne Flush, guenstig
Calcium-AKG (Ca-AKG);F_Longevity;OPTIONAL_Layer;nein;Epigenetik/Langlebigkeit;Alpha-Ketoglutarat;vorlaeufig;1000-2000;Ca-AKG;NF-pruefen;nein;ja;ja;sauer;-;keine relevant;-;hoch;PRUEFEN;Longevity-Hype, EU-Status+Dosis pruefen
Urolithin A;F_Longevity;-;nein;Mitophagie;Mitophagie-Aktivierung;mittel;250-500;Mitopure;NF+Patent blockiert;nein;nein;ja;neutral;500;keine;Spermidin;sehr hoch;CUT;Amazentis-Patent+Nestle-Lizenz
Fisetin;F_Longevity;OPTIONAL_Layer;nein;Seneszenz;Senolytikum (potent);mittel;100-500;rein/Liposom;NF-Grauzone;nein;nein;nein;neutral;500;keine relevant;Quercetin;hoch;PRUEFEN;Potentestes nat. Senolytikum, EU klaeren
Quercetin;F_Longevity;OPTIONAL_Layer;nein;Seneszenz;Senolytikum;mittel;250-500;Phytosom;Grauzone (Pflanzenstoff);nein;nein;nein;bitter;500;keine relevant;Fisetin;mittel;PRUEFEN;Status dosisabhaengig, schlecht loeslich
Resveratrol;F_Longevity;-;nein;Sirtuine;Sirtuin (umstritten);niedrig;-;-;zugelassen;nein;nein;teilweise;bitter;-;Antikoagulantien;-;mittel;CUT;Blueprint setzte ab (Bioverfuegb./pro-oxidativ)
Pterostilben;F_Longevity;Kandidat;nein;Sirtuine;Resveratrol-Analog, bioverfuegbarer;mittel;50-150;rein;NF-pruefen;nein;nein;teilweise;leicht;-;Antikoagulantien;NR;hoch;PRUEFEN;Besser als Resveratrol, EU-Status pruefen
CoQ10 Ubiquinol;F_Longevity;RTD_Phase2;nein;Mitochondrien;Atmungskette;mittel;100-300;Ubiquinol;zugelassen;nein;ja;nein;neutral;300;Statine;Astaxanthin,PQQ;hoch;CUT_MVP;Hydrophob, Emulgierung ungeloest, RTD
Astaxanthin;F_Longevity;OPTIONAL_Layer;nein;Mitochondrien;Antioxidans, Membran;mittel;4-12;Haematococcus/synth.;zugelassen;nein;ja;nein;neutral;12;Antikoagulantien;CoQ10;mittel;OPTIONAL;Stark, fettloeslich+lichtempfindlich, opakes Sachet
Alpha-Liponsaeure (ALA);F_Longevity;OPTIONAL_Layer;nein;Mitochondrien/Antioxidans;Universalantioxidans, Glukose;mittel;200-600;R-ALA;zugelassen;nein;teilweise;ja;schwefelig;-;Diabetes (Hypoglyk.);ALCAR;mittel;PRUEFEN;Mitochondrien+Glukose, leichter Schwefel
Sulforaphan;F_Longevity;OPTIONAL_Layer;nein;Nrf2/Entgiftung;Nrf2-Aktivierung;mittel;10-30;Glucoraphanin+Myrosinase;zugelassen;nein;nein;teilweise;kohlartig-scharf;-;keine relevant;-;hoch;PRUEFEN;Nrf2-Longevity, Geschmack/Stabilitaet heikel
Curcumin;F_Longevity;V1.5;nein;Inflammation;NF-kB-Hemmung;hoch;500-1000;Mizellar/liposomal;zugelassen;nein;ja;nein;erdig, faerbt;1000;Gallensteine;Piperin;mittel;CUT_MVP;Hydrophob+faerbt stark, mizellar V1.5
Berberin;F_Longevity;OPTIONAL_Layer;ja_schwach;AMPK/Glukose;AMPK, Blutzucker (Metformin-aehnlich);hoch;500-1500;HCl/Dihydroberberin;zugelassen (Grauzone Dosis);nein;teilweise;teilweise;sehr bitter;-;Schwangerschaft, Medikamente;-;mittel;PRUEFEN;Starke Glukose/AMPK-Wirkung, sehr bitter, Dosis-Status
Apigenin;F_Longevity;OPTIONAL_Layer;nein;NAD+ (CD38);CD38-Hemmung, Schlaf;vorlaeufig;50-100;rein;zugelassen (Pflanzenstoff);nein;nein;nein;leicht;-;keine relevant;Trigonellin;mittel;PRUEFEN;Schuetzt NAD+ (CD38), Bryan-Johnson-Stack
Ergothionein;F_Longevity;OPTIONAL_Layer;nein;Antioxidans;Zell-Antioxidans (aus Pilzen);vorlaeufig;5-25;rein/Pilzextrakt;zugelassen (NF);nein;ja;ja;neutral;-;keine relevant;-;hoch;PRUEFEN;Longevity-Antioxidans, niedrige Dosis, teuer
Glucosamin;F_Longevity;Kandidat;nein;Gelenk/Mortalitaet;Gelenk, epidemiolog. Mortalitaet;mittel;1500;Sulfat;zugelassen;nein;ja;ja;leicht salzig;-;Schalentierallergie;-;niedrig;CUT;Gelenk-Nische, Hochdosis
Hyaluronsaeure;F_Longevity;Kandidat;nein;Haut/Gelenk;Hydration, Gelenk;mittel;120-240;niedermolekular;zugelassen;nein;ja;ja;neutral;-;keine relevant;-;mittel;CUT;Beauty-Nische
Oleuropein/Hydroxytyrosol;F_Longevity;OPTIONAL_Layer;nein;Antioxidans/Autophagie;Olivenpolyphenole;mittel;50-100;Olivenblatt-Extrakt;zugelassen;nein;teilweise;teilweise;bitter;-;keine relevant;-;mittel;PRUEFEN;Mediterrane Longevity, bitter
Taurin;F_Longevity;CORE;indirekt;Mitochondrien;siehe Aminosaeuren;mittel;1000-2000;rein;zugelassen;nein;ja;ja;neutral;2000;Lithium;-;niedrig;KEEP;Doppellistung: auch Longevity-Pathway
Vitamin B1 (Thiamin);G_Vitamin;Basis;nein;-;Energiemetabolismus;hoch;1-10;Benfotiamin/HCl;zugelassen;ja;teilweise;ja;leicht;-;keine relevant;-;niedrig;OPTIONAL;Basis-Energie
Vitamin B6 (P5P);G_Vitamin;Basis;nein;-;Neurotransmitter-Cofaktor;hoch;1.5-25;P5P aktiv;zugelassen;ja;ja;ja;neutral;25 (Neuropathie hoch);Neuropathie (chron. hoch);-;niedrig;OPTIONAL;Cofaktor Dopamin/Serotonin
Vitamin B12 (Methyl);G_Vitamin;Basis;nein;-;Methylierung, Energie;hoch;0.025-1;Methylcobalamin;zugelassen;ja;ja;ja;neutral;-;keine relevant;Folat;niedrig;OPTIONAL;Energie/Methylierung
Folat (Methylfolat);G_Vitamin;Basis;nein;-;Methylierung;hoch;0.2-0.4;5-MTHF;zugelassen;ja;ja;ja;neutral;1 (Limit);keine relevant;B12;niedrig;OPTIONAL;Methylierung
Niacinamid (B3);G_Vitamin;Basis;nein;NAD+;NAD+-Vorstufe;hoch;16-500;NIAM;zugelassen;ja;ja;ja;neutral;900;Leber (hoch);Trigonellin;niedrig;OPTIONAL;Guenstigste NAD+-Quelle, B3
Vitamin C;G_Vitamin;Basis;nein;Antioxidans;Antioxidans, Kollagen;hoch;200-1000;Ascorbat/liposomal;zugelassen;ja;teilweise;ja;sauer;-;Nierensteine (hoch);-;niedrig;OPTIONAL;Antioxidans, Geschmack sauer
Vitamin D3;G_Vitamin;separates_Produkt;nein;-;Hormon, Immun;hoch;0.025-0.1 (1000-4000IE);D3+K2;zugelassen;ja;ja;nein;neutral;-;Hypercalcaemie;K2;niedrig;CUT_MVP;Fettloeslich, separat
Vitamin K2 (MK7);G_Vitamin;Kandidat;nein;Gefaesse;Calcium-Lenkung;mittel;0.075-0.18;MK7;zugelassen;nein;ja;nein;neutral;-;Antikoagulantien (Warfarin);D3;mittel;CUT_MVP;Fettloeslich, mit D3 separat
Vitamin E (Tocotrienole);G_Vitamin;Kandidat;nein;Antioxidans;Membranantioxidans;mittel;15-50;Tocotrienol-Mix;zugelassen;ja;nein;nein;oelig;-;Antikoagulantien;-;mittel;CUT_MVP;Fettloeslich
Magnesium-Glycinat;H_Mineral;OPTIONAL_Layer;indirekt;-;Cofaktor, Entspannung;hoch;100-200;Bisglycinat;zugelassen;ja (Muskel/Nerven);ja;ja;leicht;350;Niereninsuff.;Taurin;niedrig;OPTIONAL;Entspannung/Schlaf (Evening), Volumen
Magnesium-L-Threonat;H_Mineral;Kandidat;indirekt;-;gehirngaengig;mittel;1000-2000;L-Threonat;zugelassen;ja;ja;ja;leicht;-;Niereninsuff.;-;hoch;PRUEFEN;Kognition, teuer+Volumen
